;;; ;Oxygen;Oxygen;Oxygen;;Compensation;Temperature;('C);;Pressure;Humidity;Temp. Probe;Int. Temp.;Analog In;Raw Data:; dphi (°);;;Signal;Intensity;(mV);;Ambient;Light;(mV);;Advanced Raw Values (only logged while raw data window is open);
Date;Time (HH:MM:SS);Time (s);Comment;Ch1;Ch2;Ch3;Ch4;Ch 1;Ch 2;Ch 3;Ch 4;(mbar);(%);('C);('C); (mV);Ch 1;Ch 2;Ch 3;Ch 4;Ch1;Ch2;Ch3;Ch4;Ch1;Ch2;Ch3;Ch4; (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi);
24/09/2024;09:33:45;1920.00;;97.611;96.621;95.355;---;15.523;15.523;15.523;---;994.99;70.024;15.523;---;---;24.976;24.859;25.420;---;61.934;19.405;8.330;---;4.800;5.675;3.650;---;;
24/09/2024;09:34:15;1950.00;;97.987;96.148;96.019;---;15.524;15.524;15.524;---;994.99;70.210;15.524;---;---;24.930;24.917;25.340;---;61.900;19.423;8.324;---;4.875;5.683;3.669;---;;
24/09/2024;09:34:45;1980.00;;97.606;96.217;94.009;---;15.520;15.520;15.520;---;995.08;70.469;15.520;---;---;24.976;24.908;25.592;---;61.984;19.430;8.304;---;4.885;5.683;3.648;---;;
24/09/2024;09:35:15;2010.00;;97.583;96.135;95.456;---;15.509;15.509;15.509;---;995.06;70.774;15.509;---;---;24.980;24.919;25.409;---;61.987;19.434;8.328;---;4.835;5.685;3.659;---;;
24/09/2024;09:35:45;2040.00;;97.140;95.642;95.324;---;15.506;15.506;15.506;---;995.09;70.942;15.506;---;---;25.033;24.979;25.426;---;61.975;19.467;8.315;---;4.884;5.653;3.649;---;;
24/09/2024;09:36:15;2070.00;;97.653;96.795;95.983;---;15.511;15.511;15.511;---;995.06;71.110;15.511;---;---;24.971;24.838;25.344;---;62.000;19.440;8.337;---;4.882;5.716;3.673;---;;
24/09/2024;09:36:45;2100.00;;97.325;96.159;95.632;---;15.520;15.520;15.520;---;995.05;71.156;15.520;---;---;25.10;24.915;25.386;---;62.049;19.460;8.322;---;4.889;5.696;3.667;---;;
24/09/2024;09:37:15;2130.00;;97.643;96.099;96.260;---;15.516;15.516;15.516;---;994.98;71.146;15.516;---;---;24.973;24.923;25.311;---;62.006;19.405;8.340;---;4.859;5.660;3.654;---;;
24/09/2024;09:37:45;2160.00;;97.427;95.917;95.248;---;15.517;15.517;15.517;---;995.02;71.049;15.517;---;---;24.998;24.945;25.435;---;62.014;19.450;8.336;---;4.917;5.702;3.670;---;;
24/09/2024;09:38:15;2190.00;;97.218;97.189;94.821;---;15.518;15.518;15.518;---;995.02;70.766;15.518;---;---;25.023;24.790;25.487;---;61.985;19.445;8.336;---;4.826;5.653;3.645;---;;
24/09/2024;09:38:45;2220.00;;97.470;97.257;95.898;---;15.513;15.513;15.513;---;995.04;70.393;15.513;---;---;24.994;24.782;25.355;---;62.011;19.448;8.335;---;4.814;5.660;3.675;---;;
24/09/2024;09:39:15;2250.00;;97.554;96.210;95.868;---;15.512;15.512;15.512;---;995.04;70.169;15.512;---;---;24.983;24.909;25.358;---;61.962;19.442;8.333;---;4.905;5.688;3.655;---;;
24/09/2024;09:39:45;2280.00;;97.256;95.869;94.941;---;15.510;15.510;15.510;---;995.04;69.699;15.510;---;---;25.019;24.952;25.473;---;61.900;19.449;8.335;---;4.861;5.671;3.673;---;;
24/09/2024;09:40:15;2310.00;;97.358;96.795;96.034;---;15.495;15.495;15.495;---;994.95;69.309;15.495;---;---;25.10;24.841;25.340;---;61.924;19.410;8.328;---;4.855;5.698;3.682;---;;
24/09/2024;09:40:45;2340.00;;97.604;96.721;96.497;---;15.495;15.495;15.495;---;994.98;69.358;15.495;---;---;24.980;24.851;25.284;---;61.967;19.425;8.316;---;4.872;5.635;3.639;---;;
24/09/2024;09:41:15;2370.00;;97.502;96.263;95.987;---;15.501;15.501;15.501;---;995.03;69.235;15.501;---;---;24.991;24.904;25.345;---;61.935;19.456;8.330;---;4.831;5.667;3.671;---;;
24/09/2024;09:41:45;2400.00;;97.732;96.045;96.363;---;15.510;15.510;15.510;---;994.92;69.500;15.510;---;---;24.963;24.931;25.300;---;61.987;19.437;8.343;---;4.812;5.660;3.649;---;;
24/09/2024;09:42:15;2430.00;;97.275;96.099;96.875;---;15.503;15.503;15.503;---;994.96;70.077;15.503;---;---;25.018;24.926;25.237;---;61.999;19.478;8.328;---;4.886;5.639;3.656;---;;
24/09/2024;09:42:45;2460.00;;97.868;96.142;95.204;---;15.498;15.498;15.498;---;994.98;70.530;15.498;---;---;24.948;24.920;25.442;---;61.973;19.461;8.337;---;4.854;5.666;3.645;---;;
24/09/2024;09:43:15;2490.00;;97.757;96.025;95.021;---;15.505;15.505;15.505;---;994.99;70.700;15.505;---;---;24.960;24.934;25.465;---;62.057;19.483;8.331;---;4.844;5.646;3.643;---;;
24/09/2024;09:43:45;2520.00;;97.375;96.532;95.293;---;15.505;15.505;15.505;---;994.97;70.848;15.505;---;---;25.6;24.872;25.430;---;62.058;19.484;8.336;---;4.855;5.677;3.662;---;;
24/09/2024;09:44:15;2550.00;;97.667;95.816;95.244;---;15.502;15.502;15.502;---;995.00;71.041;15.502;---;---;24.971;24.959;25.436;---;62.081;19.458;8.343;---;4.868;5.685;3.645;---;;
24/09/2024;09:44:45;2580.00;;97.555;95.471;96.231;---;15.491;15.491;15.491;---;995.01;71.072;15.491;---;---;24.985;25.3;25.317;---;62.026;19.508;8.338;---;4.852;5.658;3.639;---;;
24/09/2024;09:45:15;2610.00;;97.753;95.977;95.915;---;15.491;15.491;15.491;---;994.98;71.095;15.491;---;---;24.963;24.941;25.355;---;62.056;19.482;8.347;---;4.804;5.629;3.674;---;;
24/09/2024;09:45:45;2640.00;;97.508;96.094;95.759;---;15.496;15.496;15.496;---;995.00;71.115;15.496;---;---;24.991;24.926;25.374;---;62.023;19.524;8.353;---;4.851;5.644;3.645;---;;
