;;; ;Oxygen;Oxygen;Oxygen;;Compensation;Temperature;('C);;Pressure;Humidity;Temp. Probe;Int. Temp.;Analog In;Raw Data:; dphi (°);;;Signal;Intensity;(mV);;Ambient;Light;(mV);;Advanced Raw Values (only logged while raw data window is open);
Date;Time (HH:MM:SS);Time (s);Comment;Ch1;Ch2;Ch3;Ch4;Ch 1;Ch 2;Ch 3;Ch 4;(mbar);(%);('C);('C); (mV);Ch 1;Ch 2;Ch 3;Ch 4;Ch1;Ch2;Ch3;Ch4;Ch1;Ch2;Ch3;Ch4; (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi);
25/09/2024;13:52:11;15180.00;;81.671;97.393;---;---;15.462;15.462;15.462;---;995.00;69.874;15.462;---;---;27.093;24.773;-4.428;---;66.748;19.026;0.068;---;4.753;5.618;3.632;---;;
25/09/2024;13:52:41;15210.00;;81.718;97.621;---;---;15.460;15.460;15.460;---;994.99;70.065;15.460;---;---;27.086;24.746;9.653;---;66.712;19.081;0.084;---;4.830;5.636;3.613;---;;
25/09/2024;13:53:11;15240.00;;81.775;97.279;---;---;15.464;15.464;15.464;---;995.02;70.171;15.464;---;---;27.077;24.786;1.300;---;66.695;19.070;0.081;---;4.787;5.595;3.624;---;;
25/09/2024;13:53:41;15270.00;;82.014;96.699;---;---;15.478;15.478;15.478;---;994.96;70.309;15.478;---;---;27.041;24.856;2.692;---;66.739;19.068;0.068;---;4.802;5.616;3.632;---;;
25/09/2024;13:54:11;15300.00;;82.090;97.544;---;---;15.471;15.471;15.471;---;995.03;70.426;15.471;---;---;27.030;24.753;12.098;---;66.719;19.066;0.070;---;4.805;5.590;3.623;---;;
25/09/2024;13:54:41;15330.00;;82.007;96.931;---;---;15.459;15.459;15.459;---;995.00;70.606;15.459;---;---;27.044;24.829;19.216;---;66.696;19.047;0.079;---;4.822;5.646;3.649;---;;
25/09/2024;13:55:11;15360.00;;81.914;97.622;---;---;15.455;15.455;15.455;---;995.04;70.469;15.455;---;---;27.058;24.746;17.900;---;66.720;19.083;0.074;---;4.807;5.609;3.622;---;;
25/09/2024;13:55:41;15390.00;;82.219;96.968;---;---;15.460;15.460;15.460;---;995.01;70.171;15.460;---;---;27.013;24.824;9.289;---;66.710;19.046;0.079;---;4.856;5.644;3.632;---;;
25/09/2024;13:56:11;15420.00;;82.176;97.381;---;---;15.478;15.478;15.478;---;995.01;70.065;15.478;---;---;27.018;24.773;9.886;---;66.616;19.055;0.066;---;4.787;5.639;3.610;---;;
25/09/2024;13:56:41;15450.00;;81.947;97.330;---;---;15.480;15.480;15.480;---;994.97;69.874;15.480;---;---;27.050;24.779;9.090;---;66.634;19.059;0.069;---;4.831;5.583;3.625;---;;
